isobutyramide	CHEMBL352219
orphenadrine	CHEMBL900
guanosine	CHEMBL375655
scopolamine-n-oxide	CHEMBL1740879
cyclopentolate	CHEMBL1201338
voxtalisib	CHEMBL3545366
WYE-125132	CHEMBL601661
deferasirox	CHEMBL550348
leucovorin	CHEMBL1679
everolimus	CHEMBL1908360
triapine	CHEMBL231616
olvanil	CHEMBL76903
MK-8745	CHEMBL4303177
dirithromycin	CHEMBL3039471
dirithromycin	CHEMBL1237072
bisoprolol	CHEMBL645
IU1	CHEMBL1410015
artemisinin	CHEMBL567597
epirubicin	CHEMBL417
metolazone	CHEMBL878
lithocholic-acid	CHEMBL1478
delavirdine	CHEMBL593
urethane	CHEMBL462547
eliprodil	CHEMBL28564
cilnidipine	CHEMBL452076
allylisothiocyanate	CHEMBL233248
para-toluenesulfonamide	CHEMBL574
ixazomib	CHEMBL2141296
isoguvacine	CHEMBL39071
CGP-54626	CHEMBL1213187
dobutamine	CHEMBL926
piperonyl-butoxide	CHEMBL1201131
adefovir-dipivoxil	CHEMBL922
alvimopan	CHEMBL270190
hexestrol	CHEMBL6615
naftidrofuryl	CHEMBL1443491
ponatinib	CHEMBL1171837
pizotifen	CHEMBL294951
zotarolimus	CHEMBL219410
tirasemtiv	CHEMBL3039529
LY2886721	CHEMBL2396989
cladribine	CHEMBL1619
chlorphensin-carbamate	CHEMBL607710
flindokalner	CHEMBL266510
hydrocortisone	CHEMBL389621
m-3M3FBS	CHEMBL1394135
SNAP	CHEMBL27308
etofibrate	CHEMBL358150
sulbactam	CHEMBL403
merbarone	CHEMBL1765797
oltipraz	CHEMBL178459
benztropine-mesylate	CHEMBL1200383
rutin	CHEMBL226335
peruvoside	CHEMBL1075790
niclosamide	CHEMBL1448
ACY-1215	CHEMBL2364628
MK-3207	CHEMBL1910936
fenthion	CHEMBL1604375
NVP-BEZ235	CHEMBL1879463
ciclesonide	CHEMBL2040682
irsogladine	CHEMBL136497
NMDA	CHEMBL291278
GW-788388	CHEMBL202887
phenothrin	CHEMBL1322884
homochlorcyclizine	CHEMBL1515447
raltegravir	CHEMBL254316
geniposidic-acid	CHEMBL460031
AMG-337	CHEMBL3545212
phenelzine	CHEMBL1089
nitisinone	CHEMBL1337
pinacidil	CHEMBL1159
racecadotril	CHEMBL2103772
Ro-106-9920	CHEMBL271023
SC-19220	CHEMBL112816
dihydroergotamine	CHEMBL1732
floxuridine	CHEMBL917
Ro-28-1675	CHEMBL1096435
iopodic-acid	CHEMBL1201243
camostat-mesilate	CHEMBL590799
LY255283	CHEMBL15766
PIK-75	CHEMBL393525
nexturastat-a	CHEMBL2179618
imidapril	CHEMBL317094
nilutamide	CHEMBL1274
puromycin	CHEMBL469912
D-delta-Tocopherol	CHEMBL1451395
D-delta-Tocopherol	CHEMBL1734310
zatebradine	CHEMBL69679
netilmicin	CHEMBL1572
glucosamine	CHEMBL493287
glucosamine	CHEMBL606759
ticlopidine	CHEMBL833
lacosamide	CHEMBL58323
finafloxacin	CHEMBL1908370
ABT-751	CHEMBL20684
rufloxacin	CHEMBL295619
duloxetine	CHEMBL1175
uridine-triacetate	CHEMBL2107381
epacadostat	CHEMBL3545369
BMY-45778	CHEMBL125569
diclofensine	CHEMBL287257
oxyclozanide	CHEMBL2105450
prednisone	CHEMBL635
SB-590885	CHEMBL477989
EPZ-5676	CHEMBL3414626
sodium-glucoheptonate	CHEMBL2106506
alagebrium	CHEMBL2111081
PF-4981517	CHEMBL3527048
etilefrine	CHEMBL86882
cephalomannine	CHEMBL305522
fostamatinib	CHEMBL2103830
lumacaftor	CHEMBL2103870
CFM-1571	CHEMBL12609
sildenafil	CHEMBL192
phenylpiracetam	CHEMBL348639
cinacalcet	CHEMBL1201284
CGP-57380	CHEMBL1240885
ethynodiol-diacetate	CHEMBL1200624
prasugrel	CHEMBL1201772
BS-181	CHEMBL1801932
SN-6	CHEMBL1318259
dapsone	CHEMBL1043
boceprevir	CHEMBL218394
omeprazole-sulfide	CHEMBL892
DPPE	CHEMBL2107467
MK-0773	CHEMBL3545333
SYM-2206	CHEMBL114898
tetrahydrouridine	CHEMBL1236475
indatraline	CHEMBL296602
cinromide	CHEMBL93233
naltriben	CHEMBL100940
carzenide	CHEMBL414
disopyramide	CHEMBL517
GW-3965	CHEMBL59030
pentamidine	CHEMBL55
choline-alfoscerate	CHEMBL1567463
montelukast	CHEMBL787
pramipexole	CHEMBL301265
thiophanate	CHEMBL2103777
elvitegravir	CHEMBL204656
SQ-109	CHEMBL561057
trifluoperazine	CHEMBL422
tyrphostin-A9	CHEMBL78150
nicotinyl-alcohol-tartrate	CHEMBL1235535
CITCO	CHEMBL458603
olprinone	CHEMBL1474900
SC-144	CHEMBL225542
PSB-11	CHEMBL1625681
temazepam	CHEMBL967
ufenamate	CHEMBL2105605
fadrozole	CHEMBL9298
econazole	CHEMBL808
dinitolmide	CHEMBL472565
naringenin	CHEMBL9352
diphenidol	CHEMBL936
mifepristone	CHEMBL1276308
OC000459	CHEMBL560993
ZM-336372	CHEMBL186526
GGTI-298	CHEMBL282748
primidone	CHEMBL856
capreomycin	CHEMBL2221250
homatropine	CHEMBL1618018
LY2603618	CHEMBL3039517
adapalene	CHEMBL1265
emoxipin	CHEMBL3338326
leteprinim	CHEMBL2104345
triprolidine	CHEMBL855
eslicarbazepine-acetate	CHEMBL87992
NXY-059	CHEMBL2107334
oxaloacetate	CHEMBL1794791
levocetirizine	CHEMBL1201191
ethisterone	CHEMBL241694
thioproperazine	CHEMBL609109
CP-93129	CHEMBL304008
rimcazole	CHEMBL275707
ABT-737	CHEMBL376408
tyloxapol	CHEMBL1201548
lodoxamide	CHEMBL1201266
BTZ043-racemate	CHEMBL2419018
biperiden	CHEMBL1101
CCT128930	CHEMBL263664
WAY-600	CHEMBL583194
BIX-02188	CHEMBL4303171
metazosin	CHEMBL4303366
mefenamic-acid	CHEMBL686
se-methylselenocysteine	CHEMBL62382
halcinonide	CHEMBL1200845
amuvatinib	CHEMBL2103851
iodixanol	CHEMBL1200507
MK-0354	CHEMBL456145
niraparib	CHEMBL1094636
testosterone-undecanoate	CHEMBL2107067
allopurinol-riboside	CHEMBL1213178
bilobalide	CHEMBL133266
lidamidine	CHEMBL448416
leflunomide	CHEMBL960
nifursol	CHEMBL485549
diethylstilbestrol	CHEMBL411
zardaverine	CHEMBL313842
tempol	CHEMBL607023
lemborexant	CHEMBL3545367
JTE-907	CHEMBL178372
FG-4592	CHEMBL2338329
moxonidine	CHEMBL19236
SU-11274	CHEMBL261641
corosolic-acid	CHEMBL391533
triamcinolone	CHEMBL1451
lenvatinib	CHEMBL1289601
quipazine	CHEMBL18772
setipiprant	CHEMBL2386081
aminopurvalanol-a	CHEMBL286721
efloxate	CHEMBL1349073
amodiaquine	CHEMBL682
gilteritinib	CHEMBL3301622
GSK2126458	CHEMBL1236962
pergolide	CHEMBL531
haloperidol	CHEMBL54
DPCPX	CHEMBL183
isopropyl-myristate	CHEMBL207602
darifenacin	CHEMBL1346
SQ-22536	CHEMBL64239
vortioxetine	CHEMBL2104993
pyrazolanthrone	CHEMBL7064
pyrazolanthrone	CHEMBL1725279
vinorelbine	CHEMBL553025
talmapimod	CHEMBL514201
bephenium-hydroxynaphthoate	CHEMBL1673148
enflurane	CHEMBL1257
benzamil	CHEMBL212579
ergonovine	CHEMBL119443
clobetasone-butyrate	CHEMBL2308885
tramadol	CHEMBL1237044
isoniazid	CHEMBL64
dabrafenib	CHEMBL2028663
securinine	CHEMBL303062
fluocinonide	CHEMBL1501
RG2833	CHEMBL3970532
meloxicam	CHEMBL599
neostigmine	CHEMBL278020
alarelin	CHEMBL3272561
griseofulvin	CHEMBL562
domiphen	CHEMBL1187011
NSC-405020	CHEMBL4303335
tubastatin-a	CHEMBL2018302
WAY-100635	CHEMBL31354
ABT-724	CHEMBL440687
ML133	CHEMBL1620289
7-methylxanthine	CHEMBL321248
MGCD-265	CHEMBL254760
gefitinib	CHEMBL939
diphenyleneiodonium	CHEMBL365739
LY2090314	CHEMBL362558
mecamylamine	CHEMBL1398031
mecamylamine	CHEMBL267936
LE-135	CHEMBL37708
ONX-0914	CHEMBL3237875
taurocholate	CHEMBL224867
nicotinamide	CHEMBL1140
creatinine	CHEMBL65567
dihydrostreptomycin	CHEMBL1950576
metoclopramide	CHEMBL86
darapladib	CHEMBL204021
AMG-517	CHEMBL229430
MK-2461	CHEMBL1822792
ritonavir	CHEMBL163
terfenadine	CHEMBL17157
P22077	CHEMBL2159498
2-Chloropyrazine	CHEMBL1741693
WZ-4002	CHEMBL1229592
ZK-93423	CHEMBL1518572
nalidixic-acid	CHEMBL5
JNJ-1661010	CHEMBL460273
SB-228357	CHEMBL14276
salicin	CHEMBL462997
NAN-190	CHEMBL8618
SB-705498	CHEMBL207433
moclobemide	CHEMBL86304
BD-1047	CHEMBL143360
medroxyprogesterone-acetate	CHEMBL717
piperidolate	CHEMBL1623992
piperidolate	CHEMBL1474977
tomelukast	CHEMBL162358
perzinfotel	CHEMBL452461
4-methylhistamine	CHEMBL275443
omeprazole	CHEMBL1503
metrizoic-acid	CHEMBL1736
sparteine-sulfate	CHEMBL2303617
protirelin	CHEMBL1472
buthionine-sulfoximine	CHEMBL1609891
tryptanthrin	CHEMBL306946
droperidol	CHEMBL1108
daidzein	CHEMBL8145
hydroxyzine	CHEMBL896
cyclopenthiazide	CHEMBL1373254
PNU-142633	CHEMBL441095
pramoxine	CHEMBL1198
RS-23597-190	CHEMBL83954
LCQ908	CHEMBL2364624
arglabin	CHEMBL2206431
apremilast	CHEMBL514800
camicinal	CHEMBL489095
nimesulide	CHEMBL56367
benzonatate	CHEMBL1374379
sesamin	CHEMBL252915
beta-lapachone	CHEMBL15192
cianidanol	CHEMBL311498
thiothixene	CHEMBL1201
bendazac	CHEMBL1089221
diclofenac	CHEMBL139
rifaximin	CHEMBL1617
alprenolol	CHEMBL266195
moxifloxacin	CHEMBL32
cyclandelate	CHEMBL1480987
gepefrine	CHEMBL2105064
gepefrine	CHEMBL3989731
voglibose	CHEMBL476960
imipramine	CHEMBL11
sulfabenzamide	CHEMBL1243
AM-92016	CHEMBL43527
prinaberel	CHEMBL450940
thioridazine	CHEMBL479
T-5224	CHEMBL3222137
vesnarinone	CHEMBL17423
ibudilast	CHEMBL19449
benzydamine	CHEMBL12610
AZD2858	CHEMBL2177161
proguanil	CHEMBL1377
semapimod	CHEMBL2107779
berberine	CHEMBL295124
acexamic-acid	CHEMBL2105922
andrographolide	CHEMBL186141
medetomidine	CHEMBL77921
benzylpenicillin	CHEMBL29
reboxetine	CHEMBL14370
R547	CHEMBL384304
CGS-20625	CHEMBL1087629
cortisone	CHEMBL111861
C646	CHEMBL3734823
C646	CHEMBL1797936
C646	CHEMBL4208500
taltirelin	CHEMBL2107016
metirosine	CHEMBL1200862
teniposide	CHEMBL452231
ICI-89406	CHEMBL11268
resminostat	CHEMBL4296717
benazepril	CHEMBL838
cyclovirobuxin-d	CHEMBL3348842
moprolol	CHEMBL156901
isoprenaline	CHEMBL434
methylphenidate	CHEMBL796
ronidazole	CHEMBL290299
deptropine	CHEMBL1946186
cis-ACPD	CHEMBL34453
cis-ACPD	CHEMBL29726
cis-ACPD	CHEMBL107845
vandetanib	CHEMBL24828
desvenlafaxine	CHEMBL1118
isosorbide-mononitrate	CHEMBL1311
nafadotride	CHEMBL286252
naloxone	CHEMBL80
mycophenolic-acid	CHEMBL866
broxaterol	CHEMBL2105475
trandolapril	CHEMBL1519
eprosartan	CHEMBL813
prednisolone-acetate	CHEMBL1152
isaxonine	CHEMBL1740513
trolox	CHEMBL153
trametinib	CHEMBL2103875
fananserin	CHEMBL83894
gadoterate-meglumine	CHEMBL2219415
otamixaban	CHEMBL46618
ZK-200775	CHEMBL19892
anisodamine	CHEMBL2165224
eupatilin	CHEMBL312750
moxidectin	CHEMBL2104415
midostaurin	CHEMBL608533
PHT-427	CHEMBL595583
metaraminol	CHEMBL1201319
alclofenac	CHEMBL94081
dexchlorpheniramine	CHEMBL1201353
zibotentan	CHEMBL1628688
PD-98059	CHEMBL35482
promethazine	CHEMBL643
thiazovivin	CHEMBL3184878
SNS-314	CHEMBL482767
arsanilic-acid	CHEMBL351769
tolazoline	CHEMBL770
anidulafungin	CHEMBL264241
frovatriptan	CHEMBL1279
FGIN-1-43	CHEMBL98572
methoprene-(s)	CHEMBL1875086
oxcarbazepine	CHEMBL1068
oxymetazoline	CHEMBL762
arotinolol	CHEMBL93298
idebenone	CHEMBL252556
PHA-848125	CHEMBL564829
SC-560	CHEMBL26915
marbofloxacin	CHEMBL478120
apabetalone	CHEMBL2393130
almitrine	CHEMBL1183717
NH125	CHEMBL1683636
indobufen	CHEMBL1765292
gallamine-triethiodide	CHEMBL1200993
toremifene	CHEMBL1655
ICI-118,551	CHEMBL513389
ICI-118,551	CHEMBL198059
salirasib	CHEMBL23293
BMS-806	CHEMBL337301
fingolimod	CHEMBL314854
plurisin-#1	CHEMBL4303458
sorbic-acid	CHEMBL250212
RS-127445	CHEMBL473186
thonzylamine	CHEMBL1623738
mecarbinate	CHEMBL1881106
mebrofenin	CHEMBL1605443
vigabatrin	CHEMBL89598
levothyroxine	CHEMBL1624
mercaptosuccinic-acid	CHEMBL4303414
methylnaltrexone	CHEMBL1186579
gliclazide	CHEMBL427216
landiolol	CHEMBL1742466
felodipine	CHEMBL1480
naproxen	CHEMBL154
BCI-540	CHEMBL37935
BQ-123	CHEMBL1269102
compound-w	CHEMBL424
PP-1	CHEMBL306380
rosoxacin	CHEMBL291157
nimodipine	CHEMBL1428
pibenzimol	CHEMBL301735
clobutinol	CHEMBL1474889
mabuprofen	CHEMBL2105154
AR-A014418	CHEMBL259850
diaveridine	CHEMBL19633
erythritol	CHEMBL349605
nevirapine	CHEMBL57
CHIR-99021	CHEMBL412142
formestane	CHEMBL132530
rupatadine	CHEMBL91397
acamprosate	CHEMBL1201293
ticagrelor	CHEMBL398435
sutezolid	CHEMBL288149
dexamethasone-acetate	CHEMBL1530428
dexamethasone-acetate	CHEMBL1651
4,5,6,7-tetrabromobenzotriazole	CHEMBL177820
PI-103	CHEMBL573339
MRS1845	CHEMBL1256776
danoprevir	CHEMBL258734
bergenin	CHEMBL273019
pardoprunox	CHEMBL2103832
ornidazole	CHEMBL1449676
AMD11070	CHEMBL518924
amfepramone	CHEMBL1194666
LY2334737	CHEMBL577711
suritozole	CHEMBL278764
fipronil	CHEMBL101326
RS-45041-190	CHEMBL1514276
hyodeoxycholic-acid	CHEMBL3348977
hyodeoxycholic-acid	CHEMBL272621
captopril	CHEMBL1560
penbutolol	CHEMBL1290
ibrolipim	CHEMBL34234
clindamycin	CHEMBL1753
DMP-543	CHEMBL343822
methocarbamol	CHEMBL1201117
fenoprofen	CHEMBL1297
TG-100713	CHEMBL244559
limaprost-alfadex	CHEMBL2107456
FK-888	CHEMBL417572
quetiapine	CHEMBL716
GDC-0152	CHEMBL2063869
rifampin	CHEMBL374478
2-pyridylethylamine	CHEMBL32813
BP-897	CHEMBL25236
edoxudine	CHEMBL318153
ganetespib	CHEMBL2103879
talc	CHEMBL3990276
acetylcysteine	CHEMBL600
glipizide	CHEMBL1073
val	CHEMBL43068
adenosine-triphosphate	CHEMBL14249
riluzole	CHEMBL744
bentazepam	CHEMBL1521495
fipexide	CHEMBL254857
miltefosine	CHEMBL125
pozanicline	CHEMBL127071
ICI-192605	CHEMBL30024
rimexolone	CHEMBL1200617
diatrizoic-acid	CHEMBL1201220
cilazapril	CHEMBL515606
gabexate	CHEMBL87563
tolamolol	CHEMBL418192
GDC-0879	CHEMBL525191
osimertinib	CHEMBL3353410
PF-03049423	CHEMBL591501
AZD8931	CHEMBL2408045
vardenafil	CHEMBL1520
adrenosterone	CHEMBL485683
RS-67506	CHEMBL83899
CX-4945	CHEMBL1230165
telaprevir	CHEMBL231813
mepivacaine	CHEMBL1087
tramiprosate	CHEMBL149082
D-Serine	CHEMBL285123
chlorhexidine	CHEMBL790
carglumic-acid	CHEMBL1201780
chlorobutanol	CHEMBL1439973
SAR-245409	CHEMBL3545366
ajmaline	CHEMBL2105617
SRT1720	CHEMBL257991
CP-339818	CHEMBL281622
tedizolid	CHEMBL1257051
telmisartan	CHEMBL1017
aliskiren-hemifumarate	CHEMBL1639
doramectin	CHEMBL2361641
LGK-974	CHEMBL3188386
tasuldine	CHEMBL358392
ZM-323881	CHEMBL1558704
clopidogrel	CHEMBL1771
bucetin	CHEMBL1697856
AY-9944	CHEMBL2062162
AY-9944	CHEMBL1513392
cefixime	CHEMBL1541
cycloheximide	CHEMBL123292
ICG-001	CHEMBL2312139
DAPT	CHEMBL255682
doxycycline	CHEMBL1433
brilliant-green	CHEMBL1181633
SB-202190	CHEMBL278041
carvedilol	CHEMBL723
acetylcholine	CHEMBL667
A-803467	CHEMBL250699
bexarotene	CHEMBL1023
pleconaril	CHEMBL29609
zolantidine	CHEMBL419296
betahistine	CHEMBL24441
trimetazidine	CHEMBL203266
hydroquinidine	CHEMBL1906890
vinburnine	CHEMBL1892145
sevelamer	CHEMBL1201798
butylated-hydroxytoluene	CHEMBL146
decoquinate	CHEMBL416230
hydrastine-(1r,-9s)	CHEMBL1256919
imiloxan	CHEMBL347695
SB-939	CHEMBL1851943
almotriptan	CHEMBL1505
alrestatin	CHEMBL63055
trimetozine	CHEMBL1697853
eticlopride	CHEMBL8946
AM-281	CHEMBL476833
TMC-353121	CHEMBL408963
nTZDpa	CHEMBL370152
nan	CHEMBL165084
ifenprodil	CHEMBL305187
chlorquinaldol	CHEMBL224325
quizartinib	CHEMBL576982
ubenimex	CHEMBL29292
benzotript	CHEMBL63544
quiflapon	CHEMBL16596
atizoram	CHEMBL1229569
doxorubicin	CHEMBL53463
ST-91	CHEMBL301717
memantine	CHEMBL807
proglumide	CHEMBL316561
fenigam	CHEMBL315818
arecoline	CHEMBL7303
emetine	CHEMBL50588
tyrphostin-AG-1296	CHEMBL71191
NBI-27914	CHEMBL45281
hesperadin	CHEMBL514409
nitrofurantoin	CHEMBL572
motesanib	CHEMBL572881
dimesna	CHEMBL2009034
alverine	CHEMBL253371
befuraline	CHEMBL1076256
2-phenylmelatonin	CHEMBL15060
opipramol	CHEMBL370753
sulforaphane	CHEMBL48802
icomucret	CHEMBL594621
altinicline	CHEMBL111659
OLDA	CHEMBL250711
Y-320	CHEMBL4303340
penicillin-v-potassium	CHEMBL1200852
caffeine	CHEMBL113
GR-159897	CHEMBL2110370
metharbital	CHEMBL450
nalmefene	CHEMBL982
BMS-927711	CHEMBL2178422
piracetam	CHEMBL36715
thiodiglycol	CHEMBL444480
dihydromyricetin	CHEMBL3348861
STF-118804	CHEMBL4303625
SX-011	CHEMBL478284
tebipenem	CHEMBL576981
bilastine	CHEMBL1742423
xenalipin	CHEMBL2104509
picartamide	CHEMBL100424
ivabradine	CHEMBL471737
epirizole	CHEMBL1411693
mefexamide	CHEMBL1368380
mesna	CHEMBL1098319
pralatrexate	CHEMBL1201746
NSC-319726	CHEMBL1976486
oxonic-acid	CHEMBL181932
TIC10	CHEMBL4297310
paromomycin	CHEMBL370143
ETC-1002	CHEMBL3545313
2-octyldodecan-1-ol	CHEMBL1572050
EVP4593	CHEMBL522502
raloxifene	CHEMBL81
perfluamine	CHEMBL2104877
BAY-11-7085	CHEMBL270299
heptaminol	CHEMBL2111076
KY02111	CHEMBL3186128
tangeritin	CHEMBL73930
pentacosanoic-acid	CHEMBL4303190
loteprednol	CHEMBL1201389
NVP-TAE684	CHEMBL509032
cisapride	CHEMBL1729
dovitinib	CHEMBL522892
firategrast	CHEMBL2104967
TGX-221	CHEMBL1972466
apocynin	CHEMBL346919
propiverine	CHEMBL1078261
NSC-23766	CHEMBL257119
valproic-acid	CHEMBL109
efaroxan	CHEMBL57895
diflorasone-diacetate	CHEMBL1200545
tiagabine	CHEMBL1027
T-0070907	CHEMBL510698
SDZ-21009	CHEMBL1742440
simvastatin	CHEMBL1064
hycanthone	CHEMBL22077
PI3K-IN-2	CHEMBL4084907
adrafinil	CHEMBL93077
xibenolol	CHEMBL347795
cidofovir	CHEMBL152
acetohydroxamic-acid	CHEMBL734
dehydrocholate	CHEMBL514446
vinflunine	CHEMBL2110725
ospemifene	CHEMBL2105395
PD-0325901	CHEMBL450775
PD-0325901	CHEMBL507361
AZD2014	CHEMBL2336325
chlorazanil	CHEMBL1984344
DUP-697	CHEMBL42485
CUDC-101	CHEMBL598797
sulfameter	CHEMBL1200359
ingenol-mebutate	CHEMBL1863513
butylated-hydroxyanisole	CHEMBL192451
butylated-hydroxyanisole	CHEMBL4296740
balsalazide	CHEMBL1201346
N-acetyl-tyrosine	CHEMBL65543
octocrylene	CHEMBL1201147
tiotidine	CHEMBL269646
chlorpropamide	CHEMBL498
formoterol	CHEMBL1256786
cefotetan	CHEMBL474579
butenafine	CHEMBL990
foropafant	CHEMBL1628662
bepotastine	CHEMBL1201758
12-O-tetradecanoylphorbol-13-acetate	CHEMBL279115
terguride	CHEMBL73151
ivermectin	CHEMBL1200633
albendazole-oxide	CHEMBL1665
buparlisib	CHEMBL2017974
Y-26763	CHEMBL1402866
ledipasvir	CHEMBL2374220
CPI-613	CHEMBL3186849
PF-04620110	CHEMBL1835919
PD-153035	CHEMBL29197
gallopamil	CHEMBL51149
vilazodone	CHEMBL439849
crisaborole	CHEMBL484785
CG-400549	CHEMBL488937
dromostanolone-propionate	CHEMBL1201048
mitoflaxone	CHEMBL443793
tirapazamine	CHEMBL50882
riodipine	CHEMBL1891684
ZM-447439	CHEMBL202721
RS-16566	CHEMBL145725
enocitabine	CHEMBL2106589
fenoterol	CHEMBL32800
trimethoquinol	CHEMBL299175
SB-2343	CHEMBL3393066
CCT129202	CHEMBL392525
picrotoxinin	CHEMBL47244
meglitinide	CHEMBL149930
flunarizine	CHEMBL30008
BML-190	CHEMBL72631
acetyl-farnesyl-cysteine	CHEMBL1555989
etanidazole	CHEMBL47405
pyrantel	CHEMBL1626223
strychnine	CHEMBL227934
PAC-1	CHEMBL591429
VE-822	CHEMBL3989870
IB-MECA	CHEMBL119709
xaliproden	CHEMBL1512580
sorafenib	CHEMBL1336
peramivir	CHEMBL139367
sulfamethazine	CHEMBL446
bis(maltolato)oxovanadium(IV)	CHEMBL286447
clodronic-acid	CHEMBL12318
amiodarone	CHEMBL633
brucine	CHEMBL501756
U-0126	CHEMBL100473
prednisolone-hemisuccinate	CHEMBL485659
TTNPB	CHEMBL275311
guanethidine	CHEMBL765
GW-7647	CHEMBL21241
AEE788	CHEMBL587723
aripiprazole	CHEMBL1112
bipenamol	CHEMBL310160
piclamilast	CHEMBL42126
bendroflumethiazide	CHEMBL1684
mianserin	CHEMBL6437
adatanserin	CHEMBL2111138
sinomenine	CHEMBL248095
tropanyl-3,5-dimethylbenzoate	CHEMBL1742402
tropanyl-3,5-dimethylbenzoate	CHEMBL1476871
tropanyl-3,5-dimethylbenzoate	CHEMBL40883
creatine	CHEMBL283800
procaterol	CHEMBL160519
nadide	CHEMBL1234613
golvatinib	CHEMBL3039525
galeterone	CHEMBL2105738
8-M-PDOT	CHEMBL99377
danegaptide	CHEMBL560592
atovaquone	CHEMBL1450
donitriptan	CHEMBL1742428
vancomycin	CHEMBL262777
fimasartan	CHEMBL1951143
MK-3697	CHEMBL3338865
SKF-81297	CHEMBL353335
ixazomib-citrate	CHEMBL3545432
vemurafenib	CHEMBL1229517
tanshinone-i	CHEMBL363535
oxybutynin	CHEMBL1231
etazolate	CHEMBL356388
KI-16425	CHEMBL361501
vindesine	CHEMBL219146
vindesine	CHEMBL238071
poziotinib	CHEMBL3545154
SNC-80	CHEMBL13470
HEMADO	CHEMBL260563
icotinib	CHEMBL2087361
articaine	CHEMBL1093
PP-2	CHEMBL406845
naphazoline	CHEMBL761
BMS-299897	CHEMBL247471
digoxin	CHEMBL1751
octenidine	CHEMBL1199480
AGI-5198	CHEMBL2180727
temsirolimus	CHEMBL1201182
clofarabine	CHEMBL1750
TAK-632	CHEMBL3125890
nintedanib	CHEMBL502835
EX-527	CHEMBL420311
oglemilast	CHEMBL4297520
sulfachlorpyridazine	CHEMBL1443577
atipamezole	CHEMBL353972
azelnidipine	CHEMBL1275868
indirubin	CHEMBL1276127
acecainide	CHEMBL1097
baicalin	CHEMBL485818
CGP-53353	CHEMBL7939
gemcitabine	CHEMBL888
AZ3146	CHEMBL2140523
eliglustat	CHEMBL2110588
golgicide-a	CHEMBL1256685
daclatasvir	CHEMBL2023898
mequinol	CHEMBL544
equilin	CHEMBL323533
PF-05190457	CHEMBL3287218
pimobendan	CHEMBL24646
PF-03814735	CHEMBL3545078
trovafloxacin	CHEMBL428
levamisole	CHEMBL1454
BI-D1870	CHEMBL573107
MK-0893	CHEMBL1933349
Ro-04-5595	CHEMBL1624380
ginsenoside-rd	CHEMBL473659
miglitol	CHEMBL1561
INH1	CHEMBL471411
nikethamide	CHEMBL2104607
clindamycin-palmitate	CHEMBL1201289
ethylenediaminetetraacetic-acid	CHEMBL858
tilorone	CHEMBL47298
PF-562271	CHEMBL1084546
etebenecid	CHEMBL1705586
indapamide	CHEMBL406
triazolam	CHEMBL646
decamethonium	CHEMBL1190
TXA127	CHEMBL3545347
tandutinib	CHEMBL124660
tiotropium	CHEMBL1182657
tiotropium	CHEMBL1900528
PSI-6130	CHEMBL223482
WZ4003	CHEMBL4303523
sumatriptan	CHEMBL128
emorfazone	CHEMBL2103954
vercirnon	CHEMBL2178578
brefeldin-a	CHEMBL19980
ku-0063794	CHEMBL1078983
dexamethasone-sodium-phosphate	CHEMBL1201302
hexachlorophene	CHEMBL496
estetrol	CHEMBL1230314
allantoin	CHEMBL593429
tetrandrine	CHEMBL176045
diflunisal	CHEMBL898
meclocycline-sulfosalicylate	CHEMBL261772
zacopride	CHEMBL18041
metamizole	CHEMBL461522
phenacemide	CHEMBL918
RN-1747	CHEMBL4303584
REV-5901	CHEMBL8747
troleandomycin	CHEMBL564085
LDN-57444	CHEMBL4303698
LDN-57444	CHEMBL3407553
5-carboxamidotryptamine	CHEMBL18840
piperaquine-phosphate	CHEMBL539666
ipsapirone	CHEMBL8412
arofylline	CHEMBL1598450
docosanol	CHEMBL1200453
fenoverine	CHEMBL1512949
etofylline-clofibrate	CHEMBL1318939
repsox	CHEMBL185238
AZD3463	CHEMBL4203266
celecoxib	CHEMBL118
BADGE	CHEMBL258558
AM-580	CHEMBL69367
L-701252	CHEMBL115225
triamcinolone-acetonide	CHEMBL1504
droxidopa	CHEMBL2103827
melperone	CHEMBL1531134
etoposide-phosphate	CHEMBL1200645
salinomycin	CHEMBL1208572
cilostazol	CHEMBL799
tromaril	CHEMBL2106178
DMP-777	CHEMBL310871
vitamin-b12	CHEMBL2375172
MR-16728	CHEMBL1378945
tyrphostin-AG-879	CHEMBL539947
PF-03084014	CHEMBL1770916
vanillylacetone	CHEMBL25894
ketorolac	CHEMBL469
cariporide	CHEMBL436559
pentoxifylline	CHEMBL628
JNJ-16259685	CHEMBL174588
dalfampridine	CHEMBL284348
cebranopadol	CHEMBL2364605
oritavancin	CHEMBL1688530
WP1066	CHEMBL1923234
flumethasone-pivalate	CHEMBL1200877
octreotide	CHEMBL1680
vorapaxar	CHEMBL493982
OTS167	CHEMBL3692820
OTS167	CHEMBL3688339
U-18666A	CHEMBL2354929
SB-431542	CHEMBL440084
L-Hydroxyproline	CHEMBL352418
L-Hydroxyproline	CHEMBL1233477
L-Hydroxyproline	CHEMBL1213475
N6-cyclopentyladenosine	CHEMBL68738
alectinib	CHEMBL1738797
denotivir	CHEMBL2104203
pyrimethamine	CHEMBL36
senicapoc	CHEMBL405821
mexiletine	CHEMBL558
lamotrigine	CHEMBL741
apigenin	CHEMBL28
3,3'-diindolylmethane	CHEMBL446452
